frequency,raw
20.299999,31.8224
20.6,31.3312
20.9,30.8919
21.200001,30.4641
21.4,30.1849
21.799999,29.6407
22,29.3754
22.4,28.858
22.700001,28.481
23,28.113
23.299999,27.7538
23.6,27.4031
24,26.948
24.299999,26.6159
24.700001,26.1847
25,25.8697
25.4,25.4606
25.799999,25.0632
26.200001,24.6772
26.5,24.3948
26.9,24.0274
27.200001,23.7585
27.6,23.4085
28,23.0678
28.5,22.6546
29,22.2548
29.5,21.8676
30,21.4926
30.4,21.2009
30.700001,20.9868
31.1,20.7074
31.5,20.4347
32,20.1028
32.5,19.7805
33,19.4673
33.5,19.163
34,18.8671
34.5,18.5792
35,18.2991
35.5,18.0265
36,17.7609
36.5,17.5022
37,17.25
37.5,17.0042
38.200001,16.6702
38.700001,16.4385
39.5,16.0793
40,15.8617
40.599998,15.6072
41.200001,15.3596
41.799999,15.1187
42.5,14.8457
43.099998,14.6183
43.700001,14.3968
44.400002,14.1453
45,13.9356
45.5,13.7648
46.200001,13.5315
46.799999,13.3367
47.5,13.1152
48.200001,12.8997
48.700001,12.7493
49.400002,12.5435
50,12.3713
50.799999,12.1476
51.5,11.9571
52.200001,11.7714
53,11.5647
53.799999,11.3637
54.5,11.1922
55.200001,11.0248
56,10.8381
57,10.6116
58,10.3922
59,10.1797
60,9.9736
60.799999,9.8132
61.5,9.676
62.200001,9.5416
63,9.3913
64,9.2082
65,9.0302
66,8.8572
67,8.6888
68,8.5248
69,8.3651
70,8.2096
71,8.058
72,7.9102
73,7.766
74,7.6253
75,7.4879
76.199997,7.3273
77.5,7.1583
78.800003,6.9943
80,6.8471
81.199997,6.7038
82.5,6.5527
83.800003,6.4057
85,6.2736
86.199997,6.1447
87.5,6.0086
88.5,5.9063
90,5.7565
91.199997,5.6399
92.5,5.5165
93.800003,5.3961
95,5.2875
96.199997,5.1813
97.5,5.0688
98.800003,4.959
100,4.8597
101.5,4.7386
103,4.6206
104.400002,4.513
106,4.3932
107.5,4.2837
109,4.1768
110.599998,4.0656
112,3.9706
113.800003,3.8514
115,3.7737
117.199997,3.635
118,3.5857
120.599998,3.4294
122,3.3477
124.099998,3.2281
125,3.178
126.5,3.0958
128,3.0153
131.5,2.8339
132,2.8087
134,2.7095
136,2.6129
138,2.5188
140,2.4271
143,2.294
145,2.2081
147.5,2.1036
150,2.0023
152.5,1.9041
155,1.8088
157.5,1.7163
160,1.6266
162.5,1.5394
165,1.4547
167.5,1.3724
170,1.2925
172.5,1.2147
175,1.1391
177.5,1.0656
180,0.994
182.5,0.9243
185,0.8565
187.5,0.7905
190,0.7263
192.5,0.6636
195,0.6026
197.5,0.5431
200,0.4851
203,0.4173
206,0.3515
209,0.2877
212,0.2256
214,0.1852
218,0.1065
220,0.0683
224,-0.0062
227,-0.0604
230,-0.1132
233,-0.1647
236,-0.2149
240,-0.2801
243,-0.3277
247,-0.3895
250,-0.4347
254,-0.4935
258,-0.5508
262,-0.6067
265,-0.6478
269,-0.7015
272,-0.7411
276,-0.7929
280,-0.8437
285,-0.906
290,-0.9672
295,-1.0273
300,-1.0866
304,-1.1335
307,-1.1684
311,-1.2146
315,-1.2605
320,-1.3175
325,-1.3742
330,-1.4308
335,-1.4872
340,-1.5435
345,-1.5999
350,-1.6564
355,-1.7129
360,-1.7696
365,-1.8266
370,-1.8837
375,-1.941
382,-2.0217
387,-2.0796
395,-2.1726
400,-2.231
406,-2.3013
412,-2.3718
418,-2.4425
425,-2.5249
431,-2.5957
437,-2.6662
444,-2.7483
450,-2.8183
455,-2.8764
462,-2.9572
468,-3.0258
475,-3.1049
482,-3.1831
487,-3.2382
494,-3.3141
500,-3.3781
508,-3.4616
515,-3.5329
522,-3.6024
530,-3.6796
538,-3.7543
545,-3.8175
552,-3.8788
560,-3.9462
570,-4.0267
580,-4.1032
590,-4.1756
600,-4.2441
608,-4.2963
615,-4.3401
622,-4.3823
630,-4.4287
640,-4.4843
650,-4.5374
660,-4.5885
670,-4.6378
680,-4.6858
690,-4.7329
700,-4.7793
710,-4.8254
720,-4.8714
730,-4.9177
740,-4.9644
750,-5.0118
762,-5.0696
775,-5.1337
788,-5.1994
800,-5.2613
812,-5.3243
825,-5.3938
838,-5.4641
850,-5.5294
862,-5.5949
875,-5.6656
885,-5.7194
900,-5.7991
912,-5.8615
925,-5.9274
938,-5.9912
950,-6.0482
962,-6.1031
975,-6.1604
988,-6.2152
1000,-6.2638
1015,-6.3219
1030,-6.3774
1044,-6.4272
1060,-6.4821
1075,-6.5324
1090,-6.5817
1106,-6.634
1120,-6.6797
1138,-6.7388
1150,-6.7787
1172,-6.8532
1180,-6.8807
1206,-6.9717
1220,-7.0215
1241,-7.0969
1250,-7.1292
1265,-7.1832
1280,-7.2367
1315,-7.359
1320,-7.3761
1340,-7.4429
1360,-7.5073
1380,-7.5692
1400,-7.6286
1430,-7.7132
1450,-7.7671
1475,-7.8322
1500,-7.8952
1525,-7.9568
1550,-8.0173
1575,-8.0768
1600,-8.1352
1625,-8.1924
1650,-8.2479
1675,-8.3015
1700,-8.3527
1725,-8.4015
1750,-8.4476
1775,-8.4911
1800,-8.5321
1825,-8.5709
1850,-8.6076
1875,-8.6425
1900,-8.6758
1925,-8.7075
1950,-8.7378
1975,-8.7667
2000,-8.7941
2030,-8.8252
2060,-8.8544
2090,-8.8818
2120,-8.9078
2140,-8.9246
2180,-8.9574
2200,-8.9737
2240,-9.0067
2270,-9.0322
2300,-9.0584
2330,-9.0854
2360,-9.1131
2400,-9.1509
2430,-9.1798
2470,-9.2184
2500,-9.2473
2540,-9.2851
2580,-9.3214
2620,-9.3552
2650,-9.378
2690,-9.4045
2720,-9.4208
2760,-9.4372
2800,-9.4476
2850,-9.4527
2900,-9.4506
2950,-9.4431
3000,-9.4316
3040,-9.4201
3070,-9.4101
3110,-9.3949
3150,-9.3774
3200,-9.3525
3250,-9.3248
3300,-9.2958
3350,-9.2669
3400,-9.2393
3450,-9.213
3500,-9.1876
3550,-9.1614
3600,-9.1327
3650,-9.1
3700,-9.0626
3750,-9.0206
3820,-8.9557
3870,-8.9062
3950,-8.8233
4000,-8.7696
4060,-8.703
4120,-8.6341
4180,-8.5629
4250,-8.4769
4310,-8.4001
4370,-8.3196
4440,-8.2214
4500,-8.1344
4550,-8.0613
4620,-7.9589
4680,-7.8707
4750,-7.7645
4820,-7.6518
4870,-7.5668
4940,-7.4429
5000,-7.3348
5080,-7.1917
5150,-7.0684
5220,-6.9458
5300,-6.8058
5380,-6.6672
5450,-6.5478
5520,-6.429
5600,-6.2896
5700,-6.1008
5800,-5.8907
5900,-5.6614
6000,-5.4201
6080,-5.225
6150,-5.0581
6220,-4.8992
6300,-4.7304
6400,-4.5364
6500,-4.35
6600,-4.1563
6700,-3.9444
6800,-3.7103
6900,-3.4569
7000,-3.193
7100,-2.9303
7200,-2.6774
7300,-2.4361
7400,-2.2026
7500,-1.9734
7620,-1.7028
7750,-1.4119
7880,-1.1089
8000,-0.8075
8120,-0.4909
8250,-0.1449
8380,0.1929
8500,0.4896
8620,0.7726
8750,1.0809
8850,1.327
9000,1.6998
9120,1.9908
9250,2.2945
9380,2.5823
9500,2.8444
9620,3.1261
9750,3.4617
9880,3.8088
10000,4.1166
10150,4.4622
10300,4.7669
10440,5.0394
10600,5.3476
10750,5.6439
10900,5.9691
11060,6.3255
11200,6.6268
11380,6.9841
11500,7.1741
11720,7.4337
11800,7.5136
12060,7.8031
12200,8.008
12410,8.309
12500,8.4363
12650,8.6455
12800,8.833
13150,9.1845
13200,9.2193
13400,9.3513
13600,9.4809
13800,9.5709
14000,9.6379
14300,9.6795
14500,9.6311
14750,9.5052
15000,9.4584
15250,9.3459
15500,9.1018
15750,8.7693
16000,8.4343
16250,8.0523
16500,7.5599
16750,7.0242
17000,6.3807
17250,5.7554
17500,5.0495
17750,4.2685
18000,3.5002
18250,2.5855
18500,1.5931
18750,0.88
19000,-0.2157
19250,-0.9884
19500,-1.9488
19750,-3.144
20000,-3.6324
