frequency,raw
20,67.4988
20.299999,66.6306
20.6,65.7617
20.9,64.8886
21.200001,64.0084
21.4,63.4169
21.799999,62.223
22,61.622
22.4,60.4175
22.700001,59.519
23,58.6322
23.299999,57.7625
23.6,56.9146
24,55.8247
24.299999,55.043
24.700001,54.0543
25,53.3554
25.4,52.4804
25.799999,51.6663
26.200001,50.9064
26.5,50.3677
26.9,49.6852
27.200001,49.1951
27.6,48.5627
28,47.9456
28.5,47.1847
29,46.4272
29.5,45.6679
30,44.9047
30.4,44.293
30.700001,43.8357
31.1,43.2317
31.5,42.6377
32,41.9146
32.5,41.2188
33,40.5561
33.5,39.9288
34,39.3358
34.5,38.7738
35,38.2391
35.5,37.7267
36,37.23
36.5,36.744
37,36.2654
37.5,35.7919
38.200001,35.1353
38.700001,34.6716
39.5,33.9453
40,33.5045
40.599998,32.9917
41.200001,32.4994
41.799999,32.0281
42.5,31.5025
43.099998,31.0703
43.700001,30.6518
44.400002,30.1762
45,29.777
45.5,29.4499
46.200001,29.0001
46.799999,28.623
47.5,28.196
48.200001,27.7845
48.700001,27.501
49.400002,27.1185
50,26.8029
50.799999,26.3954
51.5,26.0477
52.200001,25.704
53,25.3124
53.799999,24.9215
54.5,24.5807
55.200001,24.244
56,23.8687
57,23.4199
58,22.9999
59,22.6096
60,22.2455
60.799999,21.9686
61.5,21.7341
62.200001,21.5048
63,21.2469
64,20.9294
65,20.6166
66,20.309
67,20.008
68,19.7155
69,19.4327
70,19.1604
71,18.8978
72,18.643
73,18.3928
74,18.1451
75,17.8987
76.199997,17.6069
77.5,17.301
78.800003,17.0122
80,16.762
81.199997,16.5233
82.5,16.2712
83.800003,16.0209
85,15.7925
86.199997,15.5717
87.5,15.345
88.5,15.1795
90,14.9398
91.199997,14.7499
92.5,14.5454
93.800003,14.3474
95,14.177
96.199997,14.02
97.5,13.8588
98.800003,13.6935
100,13.5275
101.5,13.2997
103,13.0647
104.400002,12.8594
106,12.6542
107.5,12.4847
109,12.3225
110.599998,12.1493
112,12.0035
113.800003,11.8387
115,11.7438
117.199997,11.5721
118,11.5007
120.599998,11.2227
122,11.0648
124.099998,10.8654
125,10.7986
126.5,10.7021
128,10.6033
131.5,10.2873
132,10.2369
134,10.0558
136,9.9266
138,9.832
140,9.7354
143,9.5668
145,9.4509
147.5,9.2893
150,9.1044
152.5,8.9419
155,8.8203
157.5,8.6884
160,8.5244
162.5,8.3787
165,8.2802
167.5,8.1923
170,8.0806
172.5,7.9458
175,7.7969
177.5,7.6617
180,7.5959
182.5,7.5942
185,7.5432
187.5,7.3741
190,7.1899
192.5,7.1038
195,7.0576
197.5,6.9589
200,6.8582
203,6.815
206,6.7339
209,6.5757
212,6.4846
214,6.4543
218,6.3271
220,6.2603
224,6.1867
227,6.1088
230,6.0159
233,5.9519
236,5.9067
240,5.8469
243,5.7848
247,5.6954
250,5.6208
254,5.5034
258,5.448
262,5.3754
265,5.3179
269,5.2704
272,5.219
276,5.1598
280,5.0679
285,5.0115
290,4.9396
295,4.8981
300,4.7699
304,4.7063
307,4.7031
311,4.6553
315,4.5869
320,4.5426
325,4.4811
330,4.4354
335,4.3476
340,4.2957
345,4.2388
350,4.2123
355,4.1612
360,4.1028
365,4.0741
370,4.0221
375,3.9761
382,3.9211
387,3.876
395,3.8231
400,3.7859
406,3.7554
412,3.7133
418,3.6554
425,3.6184
431,3.5665
437,3.5468
444,3.496
450,3.4731
455,3.4272
462,3.4075
468,3.366
475,3.3374
482,3.3293
487,3.2821
494,3.2554
500,3.215
508,3.2059
515,3.1642
522,3.1396
530,3.1087
538,3.0909
545,3.0425
552,3.0415
560,3.0159
570,2.988
580,2.9451
590,2.9269
600,2.92
608,2.8948
615,2.8712
622,2.8573
630,2.8408
640,2.8184
650,2.798
660,2.7915
670,2.7776
680,2.7777
690,2.7404
700,2.7018
710,2.7415
720,2.7075
730,2.7014
740,2.675
750,2.6535
762,2.6614
775,2.6472
788,2.6444
800,2.6151
812,2.6266
825,2.6176
838,2.609
850,2.6005
862,2.6083
875,2.5913
885,2.594
900,2.5872
912,2.5915
925,2.5719
938,2.5656
950,2.5618
962,2.5621
975,2.5707
988,2.5739
1000,2.5712
1015,2.5573
1030,2.5602
1044,2.5548
1060,2.5549
1075,2.5525
1090,2.5627
1106,2.5514
1120,2.5515
1138,2.5524
1150,2.5535
1172,2.542
1180,2.5537
1206,2.5607
1220,2.558
1241,2.5492
1250,2.5355
1265,2.561
1280,2.5411
1315,2.5551
1320,2.5451
1340,2.5428
1360,2.534
1380,2.5615
1400,2.5602
1430,2.5557
1450,2.5588
1475,2.5603
1500,2.5699
1525,2.5776
1550,2.5652
1575,2.592
1600,2.6005
1625,2.5963
1650,2.6337
1675,2.6238
1700,2.6355
1725,2.6614
1750,2.6621
1775,2.6704
1800,2.6968
1825,2.7211
1850,2.731
1875,2.7581
1900,2.7859
1925,2.8066
1950,2.8173
1975,2.8458
2000,2.8476
2030,2.8836
2060,2.9154
2090,2.9449
2120,2.9752
2140,2.9967
2180,3.0353
2200,3.0521
2240,3.08
2270,3.1127
2300,3.1206
2330,3.15
2360,3.1675
2400,3.1843
2430,3.1953
2470,3.2129
2500,3.2198
2540,3.2343
2580,3.2365
2620,3.2552
2650,3.2638
2690,3.2731
2720,3.2952
2760,3.3137
2800,3.3357
2850,3.3732
2900,3.4026
2950,3.4408
3000,3.4932
3040,3.522
3070,3.5708
3110,3.5897
3150,3.6605
3200,3.6888
3250,3.7046
3300,3.7852
3350,3.7893
3400,3.8152
3450,3.8354
3500,3.863
3550,3.8688
3600,3.929
3650,3.9334
3700,3.9505
3750,3.9786
3820,4.0331
3870,4.0422
3950,4.0985
4000,4.1115
4060,4.1542
4120,4.1608
4180,4.2003
4250,4.2192
4310,4.2659
4370,4.3019
4440,4.3209
4500,4.3546
4550,4.3845
4620,4.4419
4680,4.4368
4750,4.5198
4820,4.543
4870,4.543
4940,4.6183
5000,4.6546
5080,4.6736
5150,4.7028
5220,4.7183
5300,4.7568
5380,4.7999
5450,4.777
5520,4.7963
5600,4.8021
5700,4.8375
5800,4.8511
5900,4.9172
6000,5.0018
6080,5.03
6150,5.027
6220,5.0615
6300,5.0662
6400,5.0221
6500,4.9791
6600,4.9683
6700,4.9607
6800,4.9786
6900,4.9557
7000,4.9771
7100,4.9776
7200,5.0111
7300,4.965
7400,4.9869
7500,4.9164
7620,4.8304
7750,4.7267
7880,4.667
8000,4.6439
8120,4.5673
8250,4.505
8380,4.4489
8500,4.3401
8620,4.2314
8750,4.1216
8850,4.0008
9000,3.8594
9120,3.7557
9250,3.5684
9380,3.4442
9500,3.2539
9620,3.0306
9750,2.8954
9880,2.8431
10000,2.6404
10150,2.3071
10300,1.9778
10440,1.6448
10600,1.4214
10750,1.0331
10900,0.7369
11060,0.4482
11200,0.0687
11380,-0.444
11500,-0.7922
11720,-1.4704
11800,-1.8126
12060,-2.7435
12200,-3.167
12410,-4.0087
12500,-4.3016
12650,-4.8665
12800,-5.3716
13150,-6.8343
13200,-7.0541
13400,-7.9891
13600,-8.9186
13800,-9.926
14000,-10.9796
14300,-12.6407
14500,-13.8622
14750,-15.443
15000,-16.9731
15250,-18.6035
15500,-20.431
15750,-22.2339
16000,-24.2823
16250,-26.171
16500,-28.4271
16750,-30.5908
17000,-32.9968
17250,-34.9357
17500,-37.7018
17750,-40.9506
18000,-43.3104
18250,-46.275
18500,-48.8192
18750,-51.545
19000,-53.2449
19250,-53.9111
19500,-59.1526
19750,-64.5998
20000,-67.3597
