frequency,raw
20,35.8008
20.299999,35.2883
20.6,34.7671
20.9,34.2393
21.200001,33.7081
21.4,33.3538
21.799999,32.6486
22,32.3
22.4,31.6168
22.700001,31.1209
23,30.6434
23.299999,30.1869
23.6,29.7527
24,29.2097
24.299999,28.8294
24.700001,28.3574
25,28.028
25.4,27.618
25.799999,27.2355
26.200001,26.8737
26.5,26.6119
26.9,26.2715
27.200001,26.0197
27.6,25.6851
28,25.3486
28.5,24.9224
29,24.4902
29.5,24.0546
30,23.6198
30.4,23.2762
30.700001,23.023
31.1,22.6941
31.5,22.3772
32,22.0007
32.5,21.6472
33,21.317
33.5,21.0084
34,20.7179
34.5,20.4413
35,20.1746
35.5,19.9139
36,19.6559
36.5,19.3983
37,19.1403
37.5,18.8823
38.200001,18.5232
38.700001,18.2703
39.5,17.8782
40,17.6436
40.599998,17.3739
41.200001,17.118
41.799999,16.8751
42.5,16.6053
43.099998,16.3831
43.700001,16.1671
44.400002,15.9204
45,15.7122
45.5,15.5411
46.200001,15.3053
46.799999,15.1073
47.5,14.8824
48.200001,14.6647
48.700001,14.5136
49.400002,14.3079
50,14.1363
50.799999,13.9131
51.5,13.7224
52.200001,13.5358
53,13.328
53.799999,13.1276
54.5,12.9593
55.200001,12.798
56,12.6223
57,12.4128
58,12.2105
59,12.0108
60,11.8116
60.799999,11.6532
61.5,11.5167
62.200001,11.3839
63,11.2377
64,11.0649
65,10.9023
66,10.7466
67,10.5936
68,10.441
69,10.2881
70,10.137
71,9.9903
72,9.8502
73,9.717
74,9.5898
75,9.467
76.199997,9.3232
77.5,9.1707
78.800003,9.022
80,8.8882
81.199997,8.7572
82.5,8.6178
83.800003,8.4819
85,8.3619
86.199997,8.249
87.5,8.1337
88.5,8.0477
90,7.9174
91.199997,7.81
92.5,7.6938
93.800003,7.5847
95,7.4948
96.199997,7.4152
97.5,7.3345
98.800003,7.2509
100,7.1663
101.5,7.0517
103,6.937
104.400002,6.8389
106,6.7408
107.5,6.6581
109,6.5787
110.599998,6.4937
112,6.4182
113.800003,6.3199
115,6.2541
117.199997,6.1369
118,6.0968
120.599998,5.9738
122,5.9069
124.099998,5.8007
125,5.7556
126.5,5.6871
128,5.6301
131.5,5.5145
132,5.4957
134,5.4111
136,5.3229
138,5.2452
140,5.1789
143,5.0841
145,5.018
147.5,4.9349
150,4.8586
152.5,4.788
155,4.7109
157.5,4.6309
160,4.5679
162.5,4.5173
165,4.4553
167.5,4.3818
170,4.3173
172.5,4.2665
175,4.2198
177.5,4.1666
180,4.1045
182.5,4.0493
185,4.0139
187.5,3.9807
190,3.9298
192.5,3.8762
195,3.84
197.5,3.808
200,3.7617
203,3.7007
206,3.6569
209,3.6173
212,3.5677
214,3.536
218,3.4797
220,3.4486
224,3.3966
227,3.3702
230,3.3291
233,3.2787
236,3.2408
240,3.1993
243,3.164
247,3.1295
250,3.1056
254,3.0492
258,3.0088
262,2.9927
265,2.9637
269,2.9226
272,2.9052
276,2.8728
280,2.8398
285,2.7903
290,2.7571
295,2.7086
300,2.6834
304,2.6606
307,2.6544
311,2.6355
315,2.5939
320,2.5739
325,2.5441
330,2.5181
335,2.494
340,2.4556
345,2.4298
350,2.4259
355,2.3894
360,2.3638
365,2.3375
370,2.335
375,2.3121
382,2.2863
387,2.2498
395,2.2198
400,2.2095
406,2.1831
412,2.1648
418,2.1322
425,2.126
431,2.1045
437,2.0832
444,2.0758
450,2.0505
455,2.0417
462,2.0238
468,1.9993
475,1.9971
482,1.9829
487,1.9653
494,1.9666
500,1.9387
508,1.9377
515,1.9116
522,1.9119
530,1.8789
538,1.8918
545,1.8718
552,1.8726
560,1.8577
570,1.8382
580,1.839
590,1.8265
600,1.8205
608,1.8033
615,1.795
622,1.8028
630,1.7932
640,1.7868
650,1.775
660,1.7634
670,1.762
680,1.756
690,1.7495
700,1.7548
710,1.7651
720,1.7598
730,1.7479
740,1.7623
750,1.7505
762,1.7594
775,1.7435
788,1.7578
800,1.7512
812,1.746
825,1.7445
838,1.7639
850,1.7764
862,1.7664
875,1.77
885,1.7771
900,1.7886
912,1.7905
925,1.7877
938,1.8015
950,1.7915
962,1.7878
975,1.8192
988,1.8047
1000,1.8121
1015,1.8318
1030,1.8352
1044,1.8484
1060,1.8443
1075,1.8382
1090,1.8467
1106,1.8653
1120,1.8658
1138,1.8678
1150,1.8607
1172,1.891
1180,1.8737
1206,1.898
1220,1.8879
1241,1.8931
1250,1.9075
1265,1.9021
1280,1.9094
1315,1.9058
1320,1.9134
1340,1.913
1360,1.9288
1380,1.9404
1400,1.9446
1430,1.944
1450,1.9456
1475,1.9562
1500,1.9698
1525,1.9768
1550,1.9991
1575,2.0074
1600,2.0085
1625,2.0323
1650,2.0491
1675,2.0597
1700,2.0572
1725,2.1005
1750,2.0934
1775,2.1241
1800,2.142
1825,2.1682
1850,2.1826
1875,2.1974
1900,2.2209
1925,2.2426
1950,2.2728
1975,2.2935
2000,2.3046
2030,2.3356
2060,2.373
2090,2.4086
2120,2.4231
2140,2.448
2180,2.49
2200,2.5189
2240,2.5535
2270,2.5714
2300,2.6035
2330,2.6336
2360,2.6429
2400,2.6728
2430,2.6925
2470,2.708
2500,2.7234
2540,2.7416
2580,2.7563
2620,2.7714
2650,2.7859
2690,2.8094
2720,2.819
2760,2.8477
2800,2.8756
2850,2.9142
2900,2.9511
2950,3.0104
3000,3.045
3040,3.0802
3070,3.1537
3110,3.1766
3150,3.2369
3200,3.2712
3250,3.313
3300,3.3577
3350,3.3873
3400,3.4191
3450,3.4457
3500,3.4877
3550,3.5021
3600,3.5365
3650,3.5514
3700,3.5889
3750,3.6288
3820,3.6855
3870,3.7137
3950,3.7677
4000,3.8066
4060,3.8515
4120,3.8711
4180,3.9052
4250,3.949
4310,3.9877
4370,4.0059
4440,4.0578
4500,4.0948
4550,4.1312
4620,4.1829
4680,4.2138
4750,4.2437
4820,4.2863
4870,4.3013
4940,4.3638
5000,4.385
5080,4.4443
5150,4.4542
5220,4.5023
5300,4.5387
5380,4.5377
5450,4.5586
5520,4.5878
5600,4.5896
5700,4.6119
5800,4.6448
5900,4.6877
6000,4.7289
6080,4.7839
6150,4.8257
6220,4.8358
6300,4.8271
6400,4.8279
6500,4.7944
6600,4.7712
6700,4.7644
6800,4.7708
6900,4.7919
7000,4.7991
7100,4.8031
7200,4.8385
7300,4.8427
7400,4.8141
7500,4.7699
7620,4.6957
7750,4.6522
7880,4.585
8000,4.5612
8120,4.5121
8250,4.4514
8380,4.391
8500,4.3367
8620,4.2422
8750,4.1339
8850,4.0997
9000,3.9465
9120,3.8676
9250,3.7209
9380,3.5261
9500,3.3917
9620,3.2976
9750,3.1334
9880,3.0002
10000,2.8297
10150,2.6817
10300,2.3733
10440,2.1742
10600,1.8103
10750,1.562
10900,1.2983
11060,0.9948
11200,0.8046
11380,0.3312
11500,0.0117
11720,-0.566
11800,-0.8625
12060,-1.6521
12200,-2.0281
12410,-2.6709
12500,-2.9437
12650,-3.4608
12800,-3.9236
13150,-5.1727
13200,-5.472
13400,-6.2996
13600,-7.1459
13800,-8.0559
14000,-8.9454
14300,-10.4162
14500,-11.5228
14750,-13.0016
15000,-14.2475
15250,-15.7828
15500,-17.4075
15750,-19.0826
16000,-20.799
16250,-22.5658
16500,-24.5375
16750,-26.469
17000,-28.5046
17250,-30.8997
17500,-32.7382
17750,-35.0657
18000,-37.6645
18250,-40.1995
18500,-43.262
18750,-45.1968
19000,-47.3402
19250,-49.9033
19500,-52.3577
19750,-57.6604
20000,-59.4498
