frequency,raw
20,36.8527
20.299999,36.2758
20.6,35.6772
20.9,35.0636
21.200001,34.4425
21.4,34.0287
21.799999,33.2096
22,32.8087
22.4,32.0339
22.700001,31.484
23,30.9677
23.299999,30.4886
23.6,30.0484
24,29.5212
24.299999,29.1684
24.700001,28.7505
25,28.472
25.4,28.1395
25.799999,27.839
26.200001,27.5569
26.5,27.3497
26.9,27.0721
27.200001,26.858
27.6,26.5595
28,26.241
28.5,25.8118
29,25.3521
29.5,24.8706
30,24.3789
30.4,23.9871
30.700001,23.6986
31.1,23.3275
31.5,22.9766
32,22.572
32.5,22.2079
33,21.8846
33.5,21.599
34,21.3436
34.5,21.1089
35,20.8863
35.5,20.6677
36,20.4457
36.5,20.2147
37,19.9729
37.5,19.7209
38.200001,19.3549
38.700001,19.0888
39.5,18.6696
40,18.4184
40.599998,18.1326
41.200001,17.8672
41.799999,17.6228
42.5,17.3606
43.099998,17.1512
43.700001,16.9519
44.400002,16.726
45,16.5343
45.5,16.375
46.200001,16.1516
46.799999,15.9595
47.5,15.7366
48.200001,15.5165
48.700001,15.3615
49.400002,15.1492
50,14.9725
50.799999,14.7451
51.5,14.5562
52.200001,14.3783
53,14.1907
53.799999,14.022
54.5,13.889
55.200001,13.7675
56,13.6365
57,13.4714
58,13.2882
59,13.0749
60,12.8321
60.799999,12.6252
61.5,12.4447
62.200001,12.2732
63,12.0969
64,11.9145
65,11.7725
66,11.6577
67,11.55
68,11.4323
69,11.2956
70,11.1435
71,10.9869
72,10.8403
73,10.7131
74,10.6077
75,10.5181
76.199997,10.417
77.5,10.2974
78.800003,10.1587
80,10.0187
81.199997,9.8781
82.5,9.737
83.800003,9.6132
85,9.5117
86.199997,9.416
87.5,9.3107
88.5,9.2253
90,9.0928
91.199997,8.9911
92.5,8.8967
93.800003,8.8235
95,8.768
96.199997,8.7078
97.5,8.6167
98.800003,8.4888
100,8.3485
101.5,8.1831
103,8.0769
104.400002,8.0461
106,8.0551
107.5,8.0478
109,7.9928
110.599998,7.9019
112,7.8356
113.800003,7.7936
115,7.7687
117.199997,7.6241
118,7.527
120.599998,7.1454
122,6.9998
124.099998,6.9523
125,6.9805
126.5,7.0443
128,7.0818
131.5,7.0009
132,6.981
134,6.9143
136,6.8726
138,6.8357
140,6.7795
143,6.6473
145,6.5557
147.5,6.4915
150,6.4872
152.5,6.483
155,6.4446
157.5,6.3847
160,6.2858
162.5,6.1493
165,6.0851
167.5,6.1619
170,6.2404
172.5,6.1617
175,6.0001
177.5,5.9222
180,5.9294
182.5,5.9221
185,5.8853
187.5,5.8663
190,5.869
192.5,5.8633
195,5.834
197.5,5.7791
