frequency,raw
20.299999,32.0306
20.6,31.5467
20.9,31.114
21.200001,30.6928
21.4,30.418
21.799999,29.8825
22,29.6216
22.4,29.1128
22.700001,28.7422
23,28.3806
23.299999,28.0278
23.6,27.6834
24,27.2368
24.299999,26.9109
24.700001,26.4881
25,26.1793
25.4,25.7784
25.799999,25.3892
26.200001,25.0114
26.5,24.7351
26.9,24.3758
27.200001,24.1129
27.6,23.771
28,23.4383
28.5,23.035
29,22.645
29.5,22.2677
30,21.9025
30.4,21.6186
30.700001,21.4104
31.1,21.1387
31.5,20.8737
32,20.5514
32.5,20.2387
33,19.9351
33.5,19.6402
34,19.3538
34.5,19.0754
35,18.8046
35.5,18.5413
36,18.2851
36.5,18.0356
37,17.7927
37.5,17.5561
38.200001,17.235
38.700001,17.0125
39.5,16.6679
40,16.4594
40.599998,16.2158
41.200001,15.979
41.799999,15.7489
42.5,15.4885
43.099998,15.2718
43.700001,15.061
44.400002,14.822
45,14.6229
45.5,14.461
46.200001,14.24
46.799999,14.0557
47.5,13.8465
48.200001,13.6432
48.700001,13.5016
49.400002,13.3079
50,13.1462
50.799999,12.9363
51.5,12.7579
52.200001,12.5843
53,12.3913
53.799999,12.2039
54.5,12.0444
55.200001,11.8889
56,11.7159
57,11.5063
58,11.3037
59,11.108
60,10.9187
60.799999,10.7716
61.5,10.6461
62.200001,10.5233
63,10.3863
64,10.2197
65,10.0582
66,9.9016
67,9.7495
68,9.6019
69,9.4585
70,9.3192
71,9.1838
72,9.0521
73,8.9239
74,8.7992
75,8.6779
76.199997,8.5364
77.5,8.388
78.800003,8.2445
80,8.1162
81.199997,7.9917
82.5,7.8609
83.800003,7.7341
85,7.6206
86.199997,7.5102
87.5,7.394
88.5,7.3071
90,7.1802
91.199997,7.0818
92.5,6.9781
93.800003,6.8772
95,6.7867
96.199997,6.6984
97.5,6.6053
98.800003,6.5147
100,6.4332
101.5,6.3341
103,6.238
104.400002,6.1508
106,6.0542
107.5,5.9663
109,5.8809
110.599998,5.7925
112,5.7173
113.800003,5.6235
115,5.5627
117.199997,5.4547
118,5.4165
120.599998,5.296
122,5.2334
124.099998,5.1424
125,5.1044
126.5,5.0424
128,4.982
131.5,4.847
132,4.8284
134,4.7554
136,4.6848
138,4.6165
140,4.5504
143,4.4553
145,4.3945
147.5,4.3211
150,4.2507
152.5,4.183
155,4.1179
157.5,4.0553
160,3.995
162.5,3.9371
165,3.8815
167.5,3.8279
170,3.7763
172.5,3.7267
175,3.6789
177.5,3.6329
180,3.5885
182.5,3.5458
185,3.5047
187.5,3.4651
190,3.4269
192.5,3.3902
195,3.3547
197.5,3.3205
200,3.2876
203,3.2496
206,3.2133
209,3.1784
212,3.1451
214,3.1236
218,3.0825
220,3.0627
224,3.0249
227,2.9978
230,2.9718
233,2.9469
236,2.9229
240,2.8923
243,2.8704
247,2.8423
250,2.8222
254,2.7965
258,2.7718
262,2.7483
265,2.7312
269,2.7093
272,2.6934
276,2.6728
280,2.653
285,2.629
290,2.6059
295,2.5835
300,2.5617
304,2.5446
307,2.5321
311,2.5155
315,2.4991
320,2.4789
325,2.4589
330,2.439
335,2.4192
340,2.3995
345,2.3798
350,2.3601
355,2.3404
360,2.3205
365,2.3007
370,2.2808
375,2.2608
382,2.2326
387,2.2125
395,2.1802
400,2.16
406,2.1358
412,2.1117
418,2.0878
425,2.06
431,2.0365
437,2.0134
444,1.9869
450,1.9648
455,1.9467
462,1.9221
468,1.9018
475,1.879
482,1.8573
487,1.8425
494,1.8229
500,1.8071
508,1.7876
515,1.772
522,1.7579
530,1.7437
538,1.7314
545,1.7222
552,1.7145
560,1.7075
570,1.7013
580,1.6979
590,1.6971
600,1.6986
608,1.7013
615,1.7046
622,1.7089
630,1.7145
640,1.7228
650,1.7319
660,1.7417
670,1.7518
680,1.7621
690,1.7722
700,1.7819
710,1.791
720,1.7995
730,1.8071
740,1.8138
750,1.8195
762,1.8251
775,1.8296
788,1.8326
800,1.8343
812,1.8352
825,1.8355
838,1.8355
850,1.8354
862,1.8357
875,1.8367
885,1.8381
900,1.8415
912,1.8456
925,1.8516
938,1.8592
950,1.8677
962,1.8776
975,1.8898
988,1.9033
1000,1.9168
1015,1.9348
1030,1.9536
1044,1.9716
1060,1.9922
1075,2.0111
1090,2.0293
1106,2.0476
1120,2.0624
1138,2.0798
1150,2.0904
1172,2.1074
1180,2.1129
1206,2.129
1220,2.1367
1241,2.1475
1250,2.152
1265,2.1596
1280,2.1674
1315,2.1872
1320,2.1903
1340,2.2033
1360,2.2175
1380,2.2325
1400,2.2482
1430,2.2724
1450,2.2885
1475,2.3082
1500,2.3273
1525,2.3454
1550,2.3627
1575,2.3798
1600,2.3968
1625,2.4144
1650,2.433
1675,2.4529
1700,2.4743
1725,2.4973
1750,2.5218
1775,2.5475
1800,2.5743
1825,2.6019
1850,2.63
1875,2.6586
1900,2.6877
1925,2.7171
1950,2.7471
1975,2.7776
2000,2.8088
2030,2.8469
2060,2.8857
2090,2.9249
2120,2.9639
2140,2.9896
2180,3.0395
2200,3.0635
2240,3.1088
2270,3.1403
2300,3.1697
2330,3.1971
2360,3.2226
2400,3.2539
2430,3.2757
2470,3.3028
2500,3.3218
2540,3.3457
2580,3.3683
2620,3.3905
2650,3.4073
2690,3.4309
2720,3.4502
2760,3.4787
2800,3.5114
2850,3.5588
2900,3.6129
2950,3.6721
3000,3.7339
3040,3.7834
3070,3.8197
3110,3.8664
3150,3.9108
3200,3.963
3250,4.0121
3300,4.0586
3350,4.1028
3400,4.1444
3450,4.1832
3500,4.2193
3550,4.2536
3600,4.2873
3650,4.3218
3700,4.3583
3750,4.3968
3820,4.4533
